pidlink,sex,age
005164103,1.0,15.0
005164201,1.0,36.0
005165101,1.0,27.0
005170001,1.0,66.0
005170002,3.0,51.0
005170003,1.0,29.0
005170004,1.0,26.0
005174103,3.0,27.0
005180001,1.0,58.0
005180002,3.0,56.0
005180003,3.0,37.0
005180005,1.0,30.0
005180007,3.0,22.0
005180008,1.0,15.0
005185102,1.0,43.0
005185103,1.0,16.0
005185202,3.0,27.0
005200001,1.0,58.0
005200002,3.0,49.0
005200003,1.0,30.0
005200004,1.0,28.0
005200005,3.0,24.0
005200006,1.0,20.0
005200007,1.0,19.0
005200008,3.0,16.0
006010001,1.0,49.0
006010002,3.0,49.0
006010003,3.0,26.0
006010004,3.0,20.0
006015101,1.0,27.0
006020002,3.0,63.0
006030001,1.0,57.0
006030002,3.0,55.0
006030003,1.0,30.0
006030004,1.0,27.0
006030005,3.0,21.0
006030006,3.0,18.0
006030007,1.0,22.0
006034102,3.0,37.0
006034202,3.0,26.0
006040001,1.0,63.0
006040002,3.0,55.0
006040003,1.0,40.0
006040004,1.0,36.0
006040005,3.0,31.0
006041102,3.0,37.0
006043102,3.0,39.0
006043103,3.0,18.0
006043104,1.0,15.0
006044101,1.0,35.0
006060001,1.0,57.0
006060002,3.0,54.0
006060003,1.0,25.0
006060004,1.0,47.0
006060005,3.0,44.0
006060007,3.0,22.0
006060008,1.0,18.0
006070001,1.0,55.0
006070002,3.0,53.0
006070003,1.0,27.0
006070004,1.0,26.0
006080001,1.0,55.0
006080002,3.0,53.0
006080004,3.0,29.0
006080005,1.0,23.0
006080009,3.0,25.0
006084101,1.0,36.0
006084105,3.0,30.0
006084201,1.0,33.0
006090001,1.0,54.0
006090002,3.0,52.0
006090003,3.0,29.0
006090004,3.0,27.0
006090005,1.0,25.0
006094101,1.0,31.0
006094202,3.0,25.0
006095101,1.0,30.0
006100001,1.0,57.0
006100002,3.0,53.0
006100003,1.0,34.0
006100004,1.0,33.0
006100005,1.0,28.0
006100006,1.0,17.0
006104102,3.0,26.0
006110002,3.0,64.0
006110003,1.0,40.0
006110005,3.0,31.0
006110006,1.0,46.0
006110007,3.0,46.0
006110008,1.0,22.0
006110009,3.0,18.0
006110010,1.0,15.0
006113102,3.0,35.0
006113103,1.0,15.0
006114101,1.0,32.0
006120001,1.0,56.0
006120002,3.0,52.0
006120003,3.0,35.0
006120005,1.0,18.0
006120006,3.0,20.0
006121104,1.0,38.0
006123103,3.0,16.0
006125103,3.0,18.0
006125204,1.0,20.0
006130004,3.0,31.0
006130005,1.0,33.0
006140002,3.0,55.0
006140003,1.0,35.0
006140004,3.0,34.0
006144101,1.0,33.0
006144202,3.0,25.0
006145102,3.0,27.0
006160002,3.0,66.0
006160005,1.0,17.0
006170001,1.0,60.0
006170002,3.0,57.0
006170003,1.0,37.0
006170005,3.0,28.0
006170006,1.0,26.0
006170008,1.0,20.0
006174102,3.0,34.0
006175101,1.0,25.0
006180003,1.0,35.0
006180004,1.0,26.0
006190001,1.0,53.0
006190002,3.0,52.0
006190004,3.0,29.0
006190005,3.0,24.0
006190006,3.0,37.0
006190008,1.0,27.0
006193101,1.0,37.0
006193103,3.0,15.0
006195101,1.0,32.0
006200001,1.0,64.0
006200002,3.0,60.0
006200003,1.0,36.0
006200004,3.0,33.0
006200005,3.0,21.0
006200006,1.0,23.0
006204101,1.0,32.0
006205102,3.0,35.0
007010001,3.0,64.0
007010002,1.0,39.0
007014102,3.0,35.0
007020001,3.0,72.0
007030002,3.0,66.0
007030003,3.0,39.0
007030005,3.0,32.0
007030006,1.0,42.0
007030007,3.0,30.0
007033101,1.0,42.0
007033103,1.0,15.0
007035101,1.0,34.0
007040002,3.0,69.0
007040003,1.0,38.0
007040004,1.0,35.0
007045102,3.0,34.0
007050004,1.0,36.0
007050006,3.0,38.0
007060001,1.0,55.0
007060002,3.0,50.0
007060003,3.0,25.0
007060004,3.0,23.0
007060005,1.0,19.0
007060006,1.0,16.0
007064101,1.0,25.0
007070002,3.0,78.0
007070003,1.0,41.0
007072102,3.0,42.0
007080001,1.0,72.0
007080003,3.0,38.0
